gen,best_score,mean_score,median_score,std_score,avg_trades,best_trades,best_cagr,best_sharpe,best_sortino,best_pf,best_maxdd,best_calmar,best_expectancy
147,2.496406802080427,1.6885395803736016,1.9528412204988266,0.7992749904719225,37.13333333333333,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
148,2.496406802080427,1.5998592960869498,1.6838358928120372,0.8294514537808556,32.38333333333333,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
149,2.496406802080427,1.6872037397836304,1.8502584721552087,0.8041744428817609,37.06666666666667,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
150,2.496406802080427,1.6262137511496628,1.738157402757921,0.7881992513018143,37.15,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
151,2.496406802080427,1.619598132361216,1.8415819986059778,0.7937979231251567,37.56666666666667,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
152,2.496406802080427,1.7162075144645323,1.8567913303579362,0.7465440703080131,40.608333333333334,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
153,2.496406802080427,1.792646311657334,2.049116843122209,0.7109666341845261,43.31666666666667,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
154,2.496406802080427,1.7011997814073467,1.9738178827643815,0.8165626811458783,42.68333333333333,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
155,2.496406802080427,1.6821651119836551,2.0041399726059606,0.7835530648906774,36.858333333333334,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
156,2.496406802080427,1.6360359135793914,1.8067461680470833,0.7887468473526723,36.59166666666667,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
157,2.496406802080427,1.6736287788951623,1.9467374510846784,0.7700978999233988,40.233333333333334,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
158,2.496406802080427,1.7245615579215823,1.9613454551788005,0.7680330523229325,41.575,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
159,2.496406802080427,1.7704861784105999,1.9840709866413535,0.7554047314204427,41.40833333333333,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
160,2.496406802080427,1.7461349924334788,2.008266069423784,0.74219712898415,38.875,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
161,2.496406802080427,1.7391120040672634,2.0108580400665317,0.7757901513966379,39.55833333333333,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
162,2.496406802080427,1.6657004587213915,1.9623746406860858,0.8119020638566646,36.49166666666667,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
163,2.496406802080427,1.7544990170485049,1.988902767204423,0.7857429767278562,38.2,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
